ticker,name,market,region,currency,sector
OMC,Omnicom Group,S&P 500,US,USD,Communication Services
ON,ON Semiconductor,S&P 500,US,USD,Information Technology
ORCL,Oracle Corporation,S&P 500,US,USD,Information Technology
ORLY,O’Reilly Automotive,S&P 500,US,USD,Consumer Discretionary
OTIS,Otis Worldwide,S&P 500,US,USD,Industrials
OXY,Occidental Petroleum,S&P 500,US,USD,Energy
PANW,Palo Alto Networks,S&P 500,US,USD,Information Technology
PAYX,Paychex,S&P 500,US,USD,Industrials
PCAR,Paccar,S&P 500,US,USD,Industrials
PCG,PG&E Corporation,S&P 500,US,USD,Utilities
PEG,Public Service Enterprise Group,S&P 500,US,USD,Utilities
PEP,PepsiCo,S&P 500,US,USD,Consumer Staples
PFE,Pfizer,S&P 500,US,USD,Health Care
PFG,Principal Financial Group,S&P 500,US,USD,Financials
PG,Procter & Gamble,S&P 500,US,USD,Consumer Staples
PGR,Progressive Corporation,S&P 500,US,USD,Financials
PH,Parker Hannifin,S&P 500,US,USD,Industrials
PHM,PulteGroup,S&P 500,US,USD,Consumer Discretionary
PKG,Packaging Corporation of America,S&P 500,US,USD,Materials
PLD,Prologis,S&P 500,US,USD,Real Estate
PLTR,Palantir Technologies,S&P 500,US,USD,Information Technology
PM,Philip Morris International,S&P 500,US,USD,Consumer Staples
PNC,PNC Financial Services,S&P 500,US,USD,Financials
PNR,Pentair,S&P 500,US,USD,Industrials
PNW,Pinnacle West Capital,S&P 500,US,USD,Utilities
PODD,Insulet Corporation,S&P 500,US,USD,Health Care
POOL,Pool Corporation,S&P 500,US,USD,Consumer Discretionary
PPG,PPG Industries,S&P 500,US,USD,Materials
PPL,PPL Corporation,S&P 500,US,USD,Utilities
PRU,Prudential Financial,S&P 500,US,USD,Financials
PSA,Public Storage,S&P 500,US,USD,Real Estate
PSKY,Paramount Skydance Corporation,S&P 500,US,USD,Communication Services
PSX,Phillips 66,S&P 500,US,USD,Energy
PTC,PTC Inc.,S&P 500,US,USD,Information Technology
PWR,Quanta Services,S&P 500,US,USD,Industrials
PYPL,PayPal,S&P 500,US,USD,Financials
Q,Qnity Electronics,S&P 500,US,USD,Information Technology
QCOM,Qualcomm,S&P 500,US,USD,Information Technology
RCL,Royal Caribbean Group,S&P 500,US,USD,Consumer Discretionary
REG,Regency Centers,S&P 500,US,USD,Real Estate
REGN,Regeneron Pharmaceuticals,S&P 500,US,USD,Health Care
RF,Regions Financial Corporation,S&P 500,US,USD,Financials
RJF,Raymond James Financial,S&P 500,US,USD,Financials
RL,Ralph Lauren Corporation,S&P 500,US,USD,Consumer Discretionary
RMD,ResMed,S&P 500,US,USD,Health Care
ROK,Rockwell Automation,S&P 500,US,USD,Industrials
ROL,"Rollins, Inc.",S&P 500,US,USD,Industrials
ROP,Roper Technologies,S&P 500,US,USD,Information Technology
ROST,Ross Stores,S&P 500,US,USD,Consumer Discretionary
RSG,Republic Services,S&P 500,US,USD,Industrials
RTX,RTX Corporation,S&P 500,US,USD,Industrials
RVTY,Revvity,S&P 500,US,USD,Health Care
SATS,EchoStar,S&P 500,US,USD,Communication Services
SBAC,SBA Communications,S&P 500,US,USD,Real Estate
SBUX,Starbucks,S&P 500,US,USD,Consumer Discretionary
SCHW,Charles Schwab Corporation,S&P 500,US,USD,Financials
SHW,Sherwin-Williams,S&P 500,US,USD,Materials
SJM,J.M. Smucker Company (The),S&P 500,US,USD,Consumer Staples
SLB,Schlumberger,S&P 500,US,USD,Energy
SMCI,Supermicro,S&P 500,US,USD,Information Technology
SNA,Snap-on,S&P 500,US,USD,Industrials
SNDK,Sandisk,S&P 500,US,USD,Information Technology
SNPS,Synopsys,S&P 500,US,USD,Information Technology
SO,Southern Company,S&P 500,US,USD,Utilities
SOLV,Solventum,S&P 500,US,USD,Health Care
SPG,Simon Property Group,S&P 500,US,USD,Real Estate
SPGI,S&P Global,S&P 500,US,USD,Financials
SRE,Sempra,S&P 500,US,USD,Utilities
STE,Steris,S&P 500,US,USD,Health Care
STLD,Steel Dynamics,S&P 500,US,USD,Materials
STT,State Street Corporation,S&P 500,US,USD,Financials
STX,Seagate Technology,S&P 500,US,USD,Information Technology
STZ,Constellation Brands,S&P 500,US,USD,Consumer Staples
SW,Smurfit Westrock,S&P 500,US,USD,Materials
SWK,Stanley Black & Decker,S&P 500,US,USD,Industrials
SWKS,Skyworks Solutions,S&P 500,US,USD,Information Technology
SYF,Synchrony Financial,S&P 500,US,USD,Financials
SYK,Stryker Corporation,S&P 500,US,USD,Health Care
SYY,Sysco,S&P 500,US,USD,Consumer Staples
T,AT&T,S&P 500,US,USD,Communication Services
TAP,Molson Coors Beverage Company,S&P 500,US,USD,Consumer Staples
TDG,TransDigm Group,S&P 500,US,USD,Industrials
TDY,Teledyne Technologies,S&P 500,US,USD,Information Technology
TECH,Bio-Techne,S&P 500,US,USD,Health Care
TEL,TE Connectivity,S&P 500,US,USD,Information Technology
TER,Teradyne,S&P 500,US,USD,Information Technology
TFC,Truist Financial,S&P 500,US,USD,Financials
TGT,Target Corporation,S&P 500,US,USD,Consumer Staples
TJX,TJX Companies,S&P 500,US,USD,Consumer Discretionary
TKO,TKO Group Holdings,S&P 500,US,USD,Communication Services
TMO,Thermo Fisher Scientific,S&P 500,US,USD,Health Care
TMUS,T-Mobile US,S&P 500,US,USD,Communication Services
TPL,Texas Pacific Land Corporation,S&P 500,US,USD,Energy
TPR,"Tapestry, Inc.",S&P 500,US,USD,Consumer Discretionary
TRGP,Targa Resources,S&P 500,US,USD,Energy
TRMB,Trimble Inc.,S&P 500,US,USD,Information Technology
TROW,T. Rowe Price,S&P 500,US,USD,Financials
TRV,Travelers Companies (The),S&P 500,US,USD,Financials
TSCO,Tractor Supply,S&P 500,US,USD,Consumer Discretionary
TSLA,"Tesla, Inc.",S&P 500,US,USD,Consumer Discretionary
TSN,Tyson Foods,S&P 500,US,USD,Consumer Staples
TT,Trane Technologies,S&P 500,US,USD,Industrials
TTD,Trade Desk (The),S&P 500,US,USD,Communication Services
TTWO,Take-Two Interactive,S&P 500,US,USD,Communication Services
TXN,Texas Instruments,S&P 500,US,USD,Information Technology
TXT,Textron,S&P 500,US,USD,Industrials
TYL,Tyler Technologies,S&P 500,US,USD,Information Technology
UAL,United Airlines Holdings,S&P 500,US,USD,Industrials
UBER,Uber,S&P 500,US,USD,Industrials
UDR,"UDR, Inc.",S&P 500,US,USD,Real Estate
UHS,Universal Health Services,S&P 500,US,USD,Health Care
ULTA,Ulta Beauty,S&P 500,US,USD,Consumer Discretionary
UNH,UnitedHealth Group,S&P 500,US,USD,Health Care
UNP,Union Pacific Corporation,S&P 500,US,USD,Industrials
UPS,United Parcel Service,S&P 500,US,USD,Industrials
URI,United Rentals,S&P 500,US,USD,Industrials
USB,U.S. Bancorp,S&P 500,US,USD,Financials
V,Visa Inc.,S&P 500,US,USD,Financials
VICI,Vici Properties,S&P 500,US,USD,Real Estate
VLO,Valero Energy,S&P 500,US,USD,Energy
VLTO,Veralto,S&P 500,US,USD,Industrials
VMC,Vulcan Materials Company,S&P 500,US,USD,Materials
VRSK,Verisk Analytics,S&P 500,US,USD,Industrials
VRSN,Verisign,S&P 500,US,USD,Information Technology
VRT,Vertiv,S&P 500,US,USD,Industrials
VRTX,Vertex Pharmaceuticals,S&P 500,US,USD,Health Care
VST,Vistra Corp.,S&P 500,US,USD,Utilities
VTR,Ventas,S&P 500,US,USD,Real Estate
VTRS,Viatris,S&P 500,US,USD,Health Care
VZ,Verizon,S&P 500,US,USD,Communication Services
WAB,Wabtec,S&P 500,US,USD,Industrials
WAT,Waters Corporation,S&P 500,US,USD,Health Care
WBD,Warner Bros. Discovery,S&P 500,US,USD,Communication Services
WDAY,"Workday, Inc.",S&P 500,US,USD,Information Technology
WDC,Western Digital,S&P 500,US,USD,Information Technology
WEC,WEC Energy Group,S&P 500,US,USD,Utilities
WELL,Welltower,S&P 500,US,USD,Real Estate
WFC,Wells Fargo,S&P 500,US,USD,Financials
WM,Waste Management,S&P 500,US,USD,Industrials
